variant,glom_a,glom_b,n_a,n_b,n_overlap,n_union,N,D_set,D_mag_sum,D_mag_mean,importance_sum,importance_mean,D_mag_sum_a,D_mag_sum_b,synergy
pn,VA4,VC3,5,24,4,25,500,0.026000000000000023,0.3067076802253723,0.3020797073841095,0.16635384011268617,0.16403985369205476,0.13133090734481812,0.29464036226272583,-0.08056820326580194
pn,VA4,VC4,5,12,0,17,500,0.03400000000000003,0.21060550212860107,0.20746983587741852,0.12230275106430055,0.12073491793870927,0.13133090734481812,0.10284054279327393,-0.010059806212616706
pn,VA4,VC5,5,30,2,33,500,0.08399999999999996,0.5190770626068115,0.5113444924354553,0.30153853130340574,0.29767224621772764,0.13133090734481812,0.48843318223953247,-0.03654065397670436
pn,VA4,VL1,5,23,0,28,500,0.028000000000000025,0.22641485929489136,0.2288079559803009,0.1272074296474457,0.12840397799015046,0.13133090734481812,0.1177147626876831,-0.007171224145956501
pn,VA4,VL2a,5,14,1,18,500,0.05400000000000005,0.32350093126296997,0.3194025158882141,0.188750465631485,0.18670125794410708,0.13133090734481812,0.2601777911186218,-0.033838381821890806
pn,VA4,VL2p,5,33,1,37,500,0.08799999999999997,0.42533111572265625,0.42099347710609436,0.2566655578613281,0.25449673855304716,0.13133090734481812,0.3817470669746399,-0.03761166991479925
pn,VA4,VM1,5,12,1,16,500,0.02200000000000002,0.24001437425613403,0.23701205849647522,0.13100718712806703,0.12950602924823762,0.13133090734481812,0.15553343296051025,-0.026423619176036084
pn,VA4,VM2,5,11,0,16,500,0.03400000000000003,0.2166987657546997,0.21166589856147766,0.12534938287734987,0.12283294928073885,0.13133090734481812,0.11098241806030273,-0.011039137987239656
pn,VA4,VM3,5,13,2,16,500,0.026000000000000023,0.25459223985671997,0.2504042088985443,0.14029611992836,0.13820210444927217,0.13133090734481812,0.20366835594177246,-0.05365907344661025
pn,VA4,VM4,5,19,0,24,500,0.04800000000000004,0.2976270914077759,0.292167067527771,0.17281354570388796,0.17008353376388552,0.13133090734481812,0.21491551399230957,-0.020394280474263837
pn,VA4,VM5d,5,21,2,24,500,0.06999999999999995,0.44244319200515747,0.43170982599258423,0.2562215960025787,0.2508549129962921,0.13133090734481812,0.4126165509223938,-0.04731496024392712
